ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367246,copanlisib,泛拔膦脂靶泊；𠰌咪喹唑嘧啶膦脂靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367247,crizotinib,剋挫肺靶泊；鹵苄哌吡啶肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367248,cyclizine,環克暈𠯤；苯苄哌𠯤,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],2024.11.22,
21367249,cyclophosphamide,環膦醯氮芥,Antineoplastic agents：Alkylating agents,2024.11.22,
21367250,cycloserine ,環絲醯胺,Antimycobacterials,2024.11.22,
21367251,cyproheptadine,環庚烯哌啶,Antihistamines：H1-antihistamines,2024.11.22,
21367252,cyproterone acetate,環丙孕酮乙酸酯；環丙羥孕烯酮乙酸酯,Antineoplastic agents： Hormonal Agents [Sex-hormonal agent：Progesterone receptor (PR) modulators],2024.11.22,
21367253,cytarabine,胞阿拉伯苷,Antineoplastic agents：Antimetabolites,2024.11.22,
21367254,dabrafenib,天冬速肌靶泊；噻唑磺胺速肌靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367255,dacarbazine,甲醯胺咪疊氮,Antineoplastic agents：Alkylating agents,2024.11.22,
21367256,dacomitinib,達克肺靶泊；氟苯哌喹唑啉肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367257,dalfopristin,胺碸螺菌素；胺碸螺絲菌素,Antibiotics：Macrolides ,2024.11.22,
21367258,danazol ,達納唑；㗁唑炔睪酮,Sex-hormonal agent：Androgens and anabolic steroids,2024.11.22,
21367259,dapoxetine,達泊思汀；d-萘擬思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),2024.11.22,
21367260,dapsone ,雙胺苯碸,Antimycobacterials,2024.11.22,
21367261,daptomycin,達妥菌素；玫瑰孢絲菌脂肽,Antibiotics：Lipopeptides,2024.11.22,
21367262,daratumumab,達瑞妥單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367263,darolutamide,右氯苯異咪醯胺；d-氯苯異咪醯胺,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367264,darunavir,撻擄韋爾；并呋韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367265,dasabuvir,達塞肝韋爾；磺萘尿肝韋爾,Antivirals：RNA polymerase (NS5B) inhibitors,2024.11.22,
21367266,dasatinib,達煞淋靶泊；氯苯羥哌噻唑淋靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367267,daunorubicin,醣胺四環素；環己醣胺四環素 ,Antineoplastic agents：Antibiotics,2024.11.22,
21367268,decitabine,氮胞去羥苷,Antineoplastic agents：Antimetabolites,2024.11.22,
21367269,deferasirox ,螯鐵樂；二酚苯甲酸三唑,Heavy metal antagonists,2024.11.22,
21367270,deferoxamine,去鐵羥醯胺,Heavy metal antagonists,2024.11.22,
21367271,degarelix,達革抑釋性肽；嘧脲苯丙離抑釋性肽,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367272,delavirdine,迪樂韋爾啶；碸吲韋爾啶,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),2024.11.22,
21367273,desipramine,達氮呯思定；去甲氮三環丙胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367274,desloratadine,氯異氮𠰢啶,Antihistamines：H1-antihistamines,2024.11.22,
21367275,desmethoxydaunorubicin,醣胺去甲氧四環素,Antineoplastic agents：Antibiotics,2024.11.22,
21367276,desvenlafaxine,達維樂思汀；去甲環己異思汀,Antidepressants：Serotonin–norepinephrine reuptake inhibitor (SNRI),2024.11.22,
21367277,dexchlorpheniramine,右氯苯吡丙胺；d-氯苯吡丙胺,Antihistamines：H1-antihistamines,2024.11.22,
21367278,diazepam,二氮呯酮；氯氮呯酮,"<p>Anxiolytics, Sedatives and Hypnotics: Others [Anticonvulsants/Antiepileptic drugs (AEDs)]</p>",<p>2024.11.22</p>,
21367279,dibekacin,去羥康菌素；去二羥康絲菌素B,Antibiotics：Aminoglycosides,2024.11.22,
21367280,dicloxacillin,二氯苯㗁唑西林,Antibiotics：Penicillins,2024.11.22,
21367281,didanosine,肌去二羥苷,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs) ,2024.11.22,
21367282,dienogest,腈擬睪烯酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,2024.11.22,
21367283,diethylcarbamazine,二乙哌𠯤脲,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367284,diethylstilbestrol,二乙芪酚,Sex-hormonal agent：Estrogen receptor (ER) modulators,2024.11.22,
21367285,difloxacin ,氟苯氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367286,digitoxin,毛地黃毒苷,Antiarrhythmics agents：Class Ⅴ (miscellaneous) antiarrhythmics [Cardiotonic agents：I. Cardiac glycosides],2024.11.22,
21367287,digoxin,長葉毛地黃苷,Antiarrhythmics agents：Class Ⅴ (miscellaneous) antiarrhythmics [Cardiotonic agents：I. Cardiac glycosides],2024.11.22,
21367288,diltiazem,二氫硫氮呯；二甲胺苯硫氮呯,Antiarrhythmics agents：Class IV antiarrhythmics；Antihypertensives：Calcium channel blockers,2024.11.22,
21367289,dimercaprol ,二硫代甘油,Heavy metal antagonists,2024.11.22,
