ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21378084,choline fenofibrate,苯甲醯纖維酸膽鹼,Lipid modifying agents：Fibrates,2025.5.27,
21378085,ciclesonide,抗炎醇縮環己甲醛；羥去氫皮質醇丁酸酯縮環己甲醛,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378086,ciclosporin,環孢素,Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs),2025.5.27,
21378087,clobetasol,氯表甲抑炎醇；氯代羥表甲氟去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378088,clobetasol propionate,氯表甲抑炎醇丙酸酯；氯代羥表甲氟去氫皮質醇丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378089,clobetasone,氯表甲抑炎酮；氯代羥表甲氟去氫皮質酮,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378090,clobetasone butyrate,氯表甲抑炎酮丁酸酯；氯代羥表甲氟去氫皮質酮丁酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378091,clocortolone,甲鹵抑炎固醇；甲鹵去氫皮質固醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378092,clocortolone pivalate ,甲鹵抑炎固醇新戊酸酯；甲鹵去氫皮質固醇新戊酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378093,clofibrate,氯纖維酸酯,Lipid modifying agents：Fibrates,2025.5.27,
21378094,clopidogrel,氯苄噻吩啶酯,Antithrombotic agents：Platelet aggregation inhibitors,2025.5.27,
21378095,colesevelam,膽歇安；聚數烴丙烯胺,Lipid modifying agents：Bile acid sequestrants,2025.5.27,
21378096,colestipol,膽利泊；聚甘油二(乙二胺) ,Lipid modifying agents：Bile acid sequestrants,2025.5.27,
21378097,colestyramine,膽泰安；聚乙烯苯甲銨,Lipid modifying agents：Bile acid sequestrants,2025.5.27,
21378098,cortexone,皮質固烴,Adrenal Corticosteroids：Mineralocorticoids,2025.5.27,
21378099,cortisol,皮質醇,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378100,cortisone,皮質酮,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378101,cortisone acetate,皮質酮乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378102,cyclosporin(e),環孢素,Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs),2025.5.27,
21378103,dabigatran,達庇抑血栓；脒羧乙苯咪唑,Antithrombotic agents：Direct thrombin inhibitors,2025.5.27,
21378104,dabigatran etexilate,達庇醯酯抑血栓；脒酯乙苯咪唑醯酯,Antithrombotic agents：Direct thrombin inhibitors,2025.5.27,
21378105,dalteparin,達低肝素,Antithrombotic agents：Heparin group,2025.5.27,
21378106,deflazacort,㗁唑抗炎醇酯；㗁唑去氫皮質醇乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378107,deoxycortone,皮質固烴,Adrenal Corticosteroids：Mineralocorticoids,2025.5.27,
21378108,desmopressin,去胺表升壓肽,Agents Related to Pituitary and Hypothalamic Function: Posterior Pituitary Hormones,2025.5.27,
21378109,desonide,抗炎醇縮丙酮；羥去氫皮質醇縮丙酮,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378110,desoximetasone ,甲抑炎固醇；氟甲去氫皮質固醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378111,desoxycorticosterone acetate,皮質固烴乙酸酯,Adrenal Corticosteroids：Mineralocorticoids,2025.5.27,
21378112,desoxycorticosterone pivalate,皮質固烴新戊酸酯,Adrenal Corticosteroids：Mineralocorticoids,2025.5.27,
21378113,desoxycorticosterone trimethyl acetate,皮質固烴新戊酸酯,Adrenal Corticosteroids：Mineralocorticoids,2025.5.27,
21378114,desoxycortone,皮質固烴,Adrenal Corticosteroids：Mineralocorticoids,2025.5.27,
21378115,dexamethasone,甲抑炎醇；氟甲去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378116,dexamethasone acefurate,甲抑炎醇糠乙二酸酯；氟甲去氫皮質醇糠乙二酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378117,dexamethasone acetate,甲抑炎醇乙酸酯；氟甲去氫皮質醇乙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378118,dexamethasone isonicotinate,甲抑炎醇異菸鹼酸酯；氟甲去氫皮質醇異菸鹼酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378119,dexamethasone sodium phosphate,甲抑炎醇磷酸酯鈉；氟甲去氫皮質醇磷酸酯鈉,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378120,dicoumarol,亞甲雙香豆醇,Antithrombotic agents：Vitamin K antagonists,2025.5.27,
21378121,diflorasone,氟表甲抑炎醇；二氟表甲去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378122,diflorasone diacetate,氟表甲抑炎醇二乙酸酯；二氟表甲去氫皮質醇二乙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378123,diflucortolone,氟甲抑炎固醇；二氟甲去氫皮質固醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378124,diflucortolone valerate,氟甲抑炎固醇戊酸酯；二氟甲去氫皮質固醇戊酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378125,difluocortolone,氟甲抑炎固醇；二氟甲去氫皮質固醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378126,edoxaban,伊朶抑凝因,Antithrombotic agents：Direct factor Xa inhibitors,2025.5.27,
21378127,enoxaparin,艾諾低肝素,Antithrombotic agents：Heparin group,2025.5.27,
21378128,etanercept,依坦融截炎,Anti-rheumatic Agents：Biological DMARDs,2025.5.27,
21378129,etofibrate,纖菸酸乙二酯,Lipid modifying agents：Fibrates,2025.5.27,
21378130,evolocumab,依拂脂單抗,Lipid modifying agents：Proprotein Convertase Subtilisin Kexin Type 9 (PCSK9) Inhibitors,2025.5.27,
21378131,ezetimibe,依澤抑甾攝；反氮呾酮抑甾攝,Lipid modifying agents：Other lipid modifying agents,2025.5.27,
21378132,fenofibrate,苯甲醯纖維酸酯,Lipid modifying agents：Fibrates,2025.5.27,
21378133,fludrocortisone,氟皮質醇,Adrenal Corticosteroids：Mineralocorticoids,2025.5.27,
21378134,fludrocortisone acetate,氟皮質醇乙酸酯,Adrenal Corticosteroids：Mineralocorticoids,2025.5.27,
21378135,flumetasone,氟甲抑炎醇；二氟甲去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378136,flumethasone pivalate,氟甲抑炎醇新戊酸酯；二氟甲去氫皮質醇新戊酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378137,fluocinolone acetonide,氟抑炎醇縮酮；二氟羥去氫皮質醇縮丙酮,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378138,fluocinonide,氟抑炎醇酯縮酮；二氟羥去氫皮質醇縮丙酮乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378139,fluocortin ,甲對抑炎固酸；氟甲去氫皮質固酸,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378140,fluocortin butyl,甲對抑炎固酸丁酯；氟甲去氫皮質固酸丁酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378141,fluocortolone,甲對抑炎固醇；氟甲去氫皮質固醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378142,fluoroformylone,氟甲醯皮質醇；甲醯氟羥異皮質醇縮丙酮乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378143,fluorometholone,氟甲去羥抑炎醇；氟甲去氫去羥皮質醇,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378144,fluorometholone acetate,氟甲去羥抑炎醇酯；氟甲去氫去羥皮質醇乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378145,fluprednidene acetate,甲烯抑炎醇乙酸酯；氟甲烯去氫皮質醇乙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378146,fluticasone,氟硫甲抑炎醇；三氟硫甲去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378147,fluticasone furoate,氟硫甲抑炎醇糠酸酯；三氟硫甲去氫皮質醇糠酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378148,fluticasone propionate,氟硫甲抑炎醇丙酸酯；三氟硫甲去氫皮質醇丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378149,fluvastatin,氟伐脂汀；氟吲烯脂汀,Lipid modifying agents：HMG-CoA reductase inhibitors,2025.5.27,
21378150,formocortal,氟甲醯皮質醇；甲醯氟羥異皮質醇縮丙酮乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378151,gabexate mesilate,胍凝卸甲磺酸鹽；對胍醯苯甲酸酯甲磺酸鹽,Antithrombotic agents：Others,2025.5.27,
21378152,gabexate mesylate,胍凝卸甲磺酸鹽；對胍醯苯甲酸酯甲磺酸鹽,Antithrombotic agents：Others,2025.5.27,
21378153,gemfibrozil,二甲苯庚酸醚,Lipid modifying agents：Fibrates,2025.5.27,
21378154,golimumab,革利炎單抗,Anti-rheumatic Agents：Biological DMARDs,2025.5.27,
21378155,halcinonide,氟氯皮質醇縮酮；氟羥氯代皮質醇縮丙酮,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378156,halobetasol,鹵表甲抑炎醇；氯代羥二氟表甲去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378157,halobetasol propionate,鹵表甲抑炎醇丙酸酯；氯代羥二氟表甲去氫皮質醇丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378158,halometasone,鹵甲抑炎醇；鹵甲去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378159,heparin,肝素,Antithrombotic agents：Heparin group,2025.5.27,
21378160,hydrocortisone,皮質醇,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378161,hydrocortisone aceponate,皮質醇丙乙二酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378162,hydrocortisone butyrate,皮質醇丁酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378163,hydrocortisone valerate,皮質醇戊酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378164,hydroxymesterone,甲羥孕酮,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378165,hydroxymethylprogesterone,甲羥孕酮,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378166,inclisiran,抑脂擾核酸,Lipid modifying agents：Proprotein Convertase Subtilisin Kexin Type 9 (PCSK9) Inhibitors,2025.5.27,
21378167,leflunomide,氟苯異㗁唑醯胺,Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs),2025.5.27,
21378168,loteprednol etabonate,氯淚沛諾碳酸乙酯；羥去氫異睪酮氯甲酯碳酸乙酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378169,lovastatin,蠔菇脂汀,Lipid modifying agents：HMG-CoA reductase inhibitors,2025.5.27,
21378170,medrysone,甲羥孕酮,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378171,menotrophin,尿促性素,Agents Related to Pituitary and Hypothalamic Function: Anterior Pituitary Hormones,2025.5.27,
21378172,menotropin,尿促性素,Agents Related to Pituitary and Hypothalamic Function: Anterior Pituitary Hormones,2025.5.27,
21378173,methylhydroxyprogesterone,甲羥孕酮,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378174,methylprednisolone,甲抗炎醇；甲去氫皮質醇,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378175,methylprednisolone aceponate,甲抗炎醇丙乙二酸酯；甲去氫皮質醇丙乙二酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378176,methylprednisolone acetate,甲抗炎醇乙酸酯；甲去氫皮質醇乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378177,methylprednisolone hemisuccinate,甲抗炎醇琥珀酸酯；甲去氫皮質醇丁二酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378178,methylprednisolone succinate,甲抗炎醇琥珀酸酯；甲去氫皮質醇丁二酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378179,methylprednisolone suleptanate,甲抗炎醇磺庚酸酯；甲去氫皮質醇庚酸酯磺酸鈉鹽,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378180,mometasone furoate,氯甲氯抑炎醇糠酸酯；氯代羥甲氯去氫皮質醇糠酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378181,nicametate,菸鹼酸乙胺酯,Nicotinic acid and derivatives,2025.5.27,
21378182,nicomol,菸酸甲醇酯；菸鹼酸羥環己四甲酯,Lipid modifying agents：Nicotinic acid and derivatives,2025.5.27,
21378183,nicorandil,硝乙菸鹼醯胺,Nicotinic acid and derivatives,2025.5.27,
21378184,oxylone acetate,氟甲去羥抑炎醇酯；氟甲去氫去羥皮質醇乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378185,oxytocin,催產素；催產肽,Agents Related to Pituitary and Hypothalamic Function: Posterior Pituitary Hormones,2025.5.27,
21378186,pitavastatin,批伐脂汀；環丙氟喹烯脂汀,Lipid modifying agents：HMG-CoA reductase inhibitors,2025.5.27,
21378187,prasugrel,環丙氟苄噻吩啶,Antithrombotic agents：Platelet aggregation inhibitors,2025.5.27,
21378188,pravastatin,羥裂蠔菇脂汀,Lipid modifying agents：HMG-CoA reductase inhibitors,2025.5.27,
21378189,prebediolone acetate,前皮質醇乙酸酯；羥氫異孕酮乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378190,prednicarbate,抗炎醇碳丙酸二酯；去氫皮質醇碳丙酸二酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378191,prednisolone,抗炎醇；去氫皮質醇,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378192,prednisone,抗炎酮；去氫皮質酮,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378193,probucol,丙雙硫二丁酚,Lipid modifying agents：Other lipid modifying agents,2025.5.27,
21378194,rivaroxaban,利伐抑凝因,Antithrombotic agents：Direct factor Xa inhibitors,2025.5.27,
21378195,rosuvastatin,擾伐脂汀；磺胺氟嘧烯脂汀,Lipid modifying agents：HMG-CoA reductase inhibitors,2025.5.27,
21378196,simvastatin,甲蠔菇脂汀,Lipid modifying agents：HMG-CoA reductase inhibitors,2025.5.27,
21378197,sulfasalazine,磺胺柳二亞胺 ,Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs),2025.5.27,
21378198,tedelparin,達低肝素,Antithrombotic agents：Heparin group,2025.5.27,
21378199,terlipressin,三甘離升壓肽,Agents Related to Pituitary and Hypothalamic Function: Posterior Pituitary Hormones,2025.5.27,
21378200,ticagrelor,剔革凝落,Antithrombotic agents：Platelet aggregation inhibitors,2025.5.27,
21378201,ticlopidine,氯苄噻吩啶,Antithrombotic agents：Platelet aggregation inhibitors,2025.5.27,
21378202,tirofiban,磺醯抑纖凝；磺醯哌酪胺酸,Antithrombotic agents：Platelet aggregation inhibitors,2025.5.27,
21378203,tixocortol,硫代皮質醇,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378204,tocilizumab,妥熄擬單抗,Anti-rheumatic Agents：Biological DMARDs,2025.5.27,
21378205,triamcinolone acetonide,羥抑炎醇縮丙酮；氟羥去氫皮質醇縮丙酮,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378206,triamcinolone aminobenzal benzamidoisobutyrate,羥抑炎醇縮醛苯醯胺酯；氟羥去氫皮質醇胺苯縮甲醛苯醯胺酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378207,triamcinolone benetonide,羥抑炎醇縮酮苯醯胺酯；氟羥去氫皮質醇縮丙酮苯醯胺酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378208,triamcinolone hexacetonide,羥抑炎醇縮酮己酸酯；氟羥去氫皮質醇縮丙酮己酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378209,ulobetasol ,鹵表甲抑炎醇；氯代羥二氟表甲去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378210,ulobetasol propionate,鹵表甲抑炎醇丙酸酯；氯代羥二氟表甲去氫皮質醇丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378211,urokinase,尿激溶栓酶,Antithrombotic agents：Enzyme,2025.5.27,
21378212,warfarin,苄丙酮香豆醇,Antithrombotic agents：Vitamin K antagonists,2025.5.27,
21378213,Acarbose,卡甲酶醣；胺烯去氧四葡糖,Drugs used in dysglycemia: α-Glucosidase inhibitors,2025.6.30,
21378214,alclometasone,甲異氯抑炎醇；氯甲去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.6.30,
21378215,alclometasone dipropionate,甲異氯抑炎醇二丙酸酯；氯甲去氫皮質醇二丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.6.30,
21378216,Alendronate,胺羥丁雙膦酸鹽,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378217,Alendronic acid,胺羥丁雙膦酸,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378218,Alogliptin,揠落葡汀,Drugs used in dysglycemia: Dipeptidyl peptidase IV (DPP-4) inhibitors,2025.6.30,
21378219,alteplase (rt-PA) ,重組激溶栓酶；r激溶栓酶,Antithrombotic agents：Enzyme,2025.6.30,
21378220,Atosiban,安妥抑催產肽,Uterine stimulants,2025.6.30,
21378221,Calcitonin-Salmon,鮭源抑鈣肽,Calcium regulating agents: Others,2025.6.30,
21378222,Canagliflozin,卡納葡流淨；氟噻吩葡流淨,Drugs used in dysglycemia: Sodium-glucose cotransporter 2 (SGLT2) inhibitors,2025.6.30,
21378223,Carbimazole,甲酯硫咪唑,Agents used to treat thyroid disorders: Antithyroid agents,2025.6.30,
21378224,Cholecalciferol,膽鈣化醇,Calcium regulating agents: Others,2025.6.30,
21378225,"choriogonadotropin alfa (r-hcg, recombinant human chorionic gonadotropin)",重組絨毛膜促性腺素α；r絨毛膜促性腺素α,Agents Related to Pituitary and Hypothalamic Function: Anterior Pituitary Hormones,2025.6.30,
21378226,Cinacalcet,桂皮萘乙胺,Calcium regulating agents: Others,2025.6.30,
21378227,Clodronate,二氯甲雙膦酸鹽,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378228,Clodronic acid,二氯甲雙膦酸,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378229,Dapagliflozin,撻拔葡流淨；乙氧氯葡流淨,Drugs used in dysglycemia: Sodium-glucose cotransporter 2 (SGLT2) inhibitors,2025.6.30,
21378230,Denosumab,抑蝕骨單抗,Calcium regulating agents: Others,2025.6.30,
21378231,difluprednate,氟抑炎醇丁乙二酸酯；二氟去氫皮質醇丁乙二酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378232,Dulaglutide,融合雙甘促糖肽,Drugs used in dysglycemia: GLP-1 analogues ,2025-07-21 00:00:00,
21378233,Empagliflozin,淨拔葡流淨；呋氧氯葡流淨,Drugs used in dysglycemia: Sodium-glucose cotransporter 2 (SGLT2) inhibitors,2025.6.30,
21378234,fluclorolone acetonide,鹵伸抗炎醇縮酮；氟氯代去氫伸皮質醇縮丙酮,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378235,flucloronide,鹵伸抗炎醇縮酮；氟氯代去氫伸皮質醇縮丙酮,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378236,fludroxycortide,對氟皮質醇縮酮；對氟羥甲皮質醇縮丙酮,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378237,flunisolide,對抑炎醇縮酮；對氟羥去氫皮質醇縮丙酮,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378238,fluperolone acetate,伸抑炎醇乙酸酯；氟去氫伸皮質醇乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378239,flurandrenolide,對氟皮質醇縮酮；對氟羥甲皮質醇縮丙酮,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378240,flurandrenolone,對氟皮質醇縮酮；對氟羥甲皮質醇縮丙酮,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378241,"follitropin alfa (r-hfsh, recombinant follicle-stimulating hormone)",重組促濾泡素α；r促濾泡素α,Agents Related to Pituitary and Hypothalamic Function: Anterior Pituitary Hormones,2025.6.30,
21378242,"follitropin beta (r-hfsh, recombinant follicle-stimulating hormone)",重組促濾泡素β；r促濾泡素β,Agents Related to Pituitary and Hypothalamic Function: Anterior Pituitary Hormones,2025.6.30,
21378243,Glibenclamide,葡氯苯醯胺；氯苯甲醯磺醯脲,Drugs used in dysglycemia: Sulfonylureas,2025.6.30,
21378244,Gliclazide,葡環戊啶；環戊啶磺醯脲,Drugs used in dysglycemia: Sulfonylureas,2025.6.30,
21378245,Glimepiride,葡甲吡咯；吡咯酮磺醯脲,Drugs used in dysglycemia: Sulfonylureas,2025.6.30,
21378246,Gliquidone,葡異喹酮；異喹酮磺醯脲,Drugs used in dysglycemia: Sulfonylureas,2025.6.30,
21378247,Glucagon,升糖素；升糖肽,Drugs used in hypoglycemia,2025.6.30,
21378248,Glyburide,葡氯苯醯胺；氯苯甲醯磺醯脲,Drugs used in dysglycemia: Sulfonylureas,2025.6.30,
21378249,hydrocortisone buteprate,皮質醇丁丙二酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378250,hydrocortisone probutate,皮質醇丁丙二酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378251,Ibandronate,戊胺羥丙雙膦酸鹽,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378252,Ibandronic acid,戊胺羥丙雙膦酸,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378253,Insulin Aspart,天冬胰島素,Drugs used in dysglycemia: Insulins,2025.6.30,
21378254,Insulin Detemir,去蘇胰島素,Drugs used in dysglycemia: Insulins,2025.6.30,
21378255,Insulin Glargine,甘精胰島素,Drugs used in dysglycemia: Insulins,2025.6.30,
21378256,Insulin human,胰島素,Drugs used in dysglycemia: Insulins,2025.6.30,
21378257,Insulin Lispro,離脯胰島素,Drugs used in dysglycemia: Insulins,2025.6.30,
21378258,Insulin Regular,胰島素,Drugs used in dysglycemia: Insulins,2025.6.30,
21378259,Ipragliflozin,艾培葡流淨；苯噻吩氟葡流淨,Drugs used in dysglycemia: Sodium-glucose cotransporter 2 (SGLT2) inhibitors,2025.6.30,
21378260,Isophane Insulin,魚精胰島素,Drugs used in dysglycemia: Insulins,2025.6.30,
21378261,Ketotifen,酮噻吩；烯哌噻碳呯酮,Antiallergic Agents,2025.6.30,
21378262,Levothyroxine (T4),四碘甲狀腺素,Agents used to treat thyroid disorders: Thyroid hormones,2025.6.30,
21378263,Linagliptin,l-挪葡汀,Drugs used in dysglycemia: Dipeptidyl peptidase IV (DPP-4) inhibitors,2025.6.30,
21378264,Liraglutide,棕醯麩精促糖肽,Drugs used in dysglycemia: GLP-1 analogues,2025.6.30,
21378265,Lorcaserin,氯苯甲氮呯,Drugs used in obesity,2025.6.30,
21378266,L-Thyroxine (T4),四碘甲狀腺素,Agents used to treat thyroid disorders: Thyroid hormones,2025.6.30,
21378267,"lutropin alfa (r-hlh, recombinant human luteinizing hormone)",重組促黃體素α；r促黃體素α,Agents Related to Pituitary and Hypothalamic Function: Anterior Pituitary Hormones,2025.6.30,
21378268,meprednisone,表甲抗炎酮；表甲去氫皮質酮 ,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.6.30,
21378269,Metformin,二甲縮二胍；聯甲脒二甲胺,Drugs used in dysglycemia: Biguanides,2025.6.30,
21378270,Mifepristone (RU-486),丙炔抑孕酮；胺苯炔雌醇酮,Uterine stimulants,2025.6.30,
21378271,Miglitol,羥乙哌啶糖,Drugs used in dysglyce-mia: α-Glucosidase in-hibitors,2025.6.30,
21378272,Mitiglinide,泌提葡匿；異吲苄琥珀醯胺酸,Drugs used in dysglycemia: Meglitinides,2025.6.30,
21378273,Montelukast,敏退拮白烯；硫喹茋拮白烯,Antiallergic Agents,2025.6.30,
21378274,Nateglinide,挪糖葡匿；薄荷醯苯丙胺酸,Drugs used in dysglycemia: Meglitinides,2025.6.30,
21378275,Neutral Protamine Hagedorn (NPH) insulin,魚精胰島素,Drugs used in dysglycemia: Insulins,2025.6.30,
21378276,Pamidronate,胺羥丙雙膦酸鹽,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378277,Pamidronic acid,胺羥丙雙膦酸,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378278,paramethasone,甲對抑炎醇；對氟甲去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.6.30,
21378279,paramethasone acetate,甲對抑炎醇乙酸酯；對氟甲去氫皮質醇乙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.6.30,
21378280,Pioglitazone,吡葡噻唑酮,Drugs used in dysglycemia: Thiazolidinediones,2025.6.30,
21378281,Potassium iodide,碘化鉀,Agents used to treat thyroid disorders: Antithyroid agents,2025.6.30,
21378282,prednylidene,甲烯抗炎醇；甲烯去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.6.30,
21378283,Propylthiouracil (PTU),丙硫脲嘧啶,Agents used to treat thyroid disorders: Antithyroid agents,2025.6.30,
21378284,protirelin,促甲狀腺素釋激素,Agents Related to Pituitary and Hypothalamic Function: Hypothalamic Hormones,2025.6.30,
21378285,Repaglinide,瑞帕葡匿；哌苯戊柳乙醯胺,Drugs used in dysglycemia: Meglitinides,2025.6.30,
21378286,rimexolone,甲碳抗炎固醇；碳代羥甲去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.6.30,
21378287,Risedronate,吡羥乙雙膦酸鹽,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378288,Risedronic acid,吡羥乙雙膦酸,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378289,Ritodrine,瑞妥麻黃鹼；羥苯乙原麻黃鹼,Uterine relaxants,2025.6.30,
21378290,Romosozumab,硬骨肽單抗,Calcium regulating agents: Others,2025.6.30,
21378291,Rosiglitazone,吡胺葡噻唑酮 ,Drugs used in dysglycemia: Thiazolidinediones,2025.6.30,
21378292,Salcatonin,鮭源抑鈣肽,Calcium regulating agents: Others,2025.6.30,
21378293,Saxagliptin,金剛環丙葡汀,Drugs used in dysglycemia: Dipeptidyl peptidase IV (DPP-4) inhibitors,2025.6.30,
21378294,Sitagliptin,六氟葡汀,Drugs used in dysglycemia: Dipeptidyl peptidase IV (DPP-4) inhibitors,2025.6.30,
21378295,somatropin,重組生長素；r生長素,Agents Related to Pituitary and Hypothalamic Function: Anterior Pituitary Hormones,2025.6.30,
21378296,Synthetic Salmon Calcitonin,鮭源抑鈣肽,Calcium regulating agents: Others,2025.6.30,
21378297,Teriparatide,重組副甲肽；r副甲肽,Calcium regulating agents: Others,2025.6.30,
