ID,英文名稱,中文名稱,圖片,化學式,更新日期
617583,zinc phosphide,磷化鋅,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">P</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617588,zinc peroxide,過氧化鋅 {二氧化鋅},,"<Font html:Color=""#000000"">ZnO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617589,zinc phenate; zinc phenolate,[二]酚鋅,,"<Font html:Color=""#000000"">(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">Zn</Font>",2012-11-26
617590,zinc periodate,過碘酸鋅,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">(IO</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617591,zinc permanganate,過錳酸鋅,,"<Font html:Color=""#000000"">Zn(MnO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617595,zinc pentathionate,五硫磺酸鋅,,"<Font html:Color=""#000000"">ZnS</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub>",2012-11-26
617596,zinc perchlorate,過氯酸鋅,,"<Font html:Color=""#000000"">Zn(ClO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617597,zinc oxalate,草酸鋅；乙二酸鋅,,"<Font html:Color=""#000000"">ZnC</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617598,zinc oxide,氧化鋅,,ZnO,2012-11-26
617599,zinc oxysulfide,氧硫化鋅,,ZnO·ZnS,2012-11-26
617600,zinc orthophosphate,[正]磷酸鋅,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(PO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617601,zinc orthosilicate,[正]矽酸鋅,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">SiO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617603,zinc oleate,油酸鋅 {9-十八碳烯酸鋅},,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">18</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">33</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617604,zinc nitride,氮化鋅,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">N</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617605,zinc nitrite,亞硝酸鋅,,"<Font html:Color=""#000000"">Zn(NO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617606,zinc methide,二甲鋅,,"<Font html:Color=""#000000"">Zn(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
