ID,英文名稱,中文名稱,圖片,備註,更新日期
159955,pyrrolidine,吡咯啶;四氫吡咯,,,2012-11-26
159956,pyrrole,吡咯;一氮二烯伍圜,,,2012-11-26
159957,pyrotartaric acid,焦酒石酸,,,2012-11-26
159958,pyroracemic acid;pyruvic acid,焦葡萄酸;乙醯甲酸;α-丙酮酸,,,2019-03-12
159959,pyroporphyrin,焦性吡咯紫質,,,2012-11-26
159960,pyrophosphorylase,焦磷酸化酶,,,2012-11-26
159961,pyrophosphorolysis,焦磷酸化分解,,,2012-11-26
159962,pyrophosphoric acid,焦磷酸,,,2012-11-26
159963,pyrophosphatase,焦磷酸酶,,,2012-11-26
159964,pyrone,二氧二烯陸圜,,,2012-11-26
159965,pyromucic acid;αfuroic acid,糖酸;α-呋喃甲酸,,,2012-11-26
159966,Pyrolaceae;pyrola family,鹿蹄草科,,,2012-11-26
159967,Pyrola rotundifolia L.,鹿蹄草(圖考;中藥誌);圓葉鹿蹄草;冬綠;破血丹,,,2012-11-26
159968,pyrola family;Pyrolaceae,鹿蹄草科,,,2012-11-26
