ID,英文詞彙,中文名詞,更新日期
21329668,okra;lady’s fingers (UK),秋葵,
21329669,ombudsman,御史大夫 censor-in-chief,
21329670,on probation,留校察看,
21329671,"one, two, three, wooden man",一二三木頭人,
21329672,oracle bone script;oracle bone inscription,甲骨文,
21329673,orange,柳丁(橙),
21329674,otaku,宅宅,
21329675,otaku boy;homebody,宅男,
21329676,otaku girl;homebody,宅女,
21329677,ox-tongue cake,牛舌餅,
21329678,oyster misua;Taiwanese oyster noodles,蚵仔麵線,
21329679,oyster omelet,蚵仔煎,
21329680,pailou/paifang;Chinese arch;Chinese gateway,牌樓/牌坊,
21329681,pao (cannon),包/炮,
21329682,papaya milk,木瓜牛奶,
21329683,paper pinwheel,紙風車,
21329684,passion fruit,百香果,
21329685,pay as you throw (PAYT),(垃圾處理費) 隨袋徵收,
21329686,pay someone a Lunar New Year's visit,拜年,
21329687,pea microgreens;(俗稱 pea sprouts; pea shoots),豌豆苗,
21329688,pea;green pea,豌豆仁,
21329689,pearl milk tea,珍珠奶茶,
21329690,Pekinese,獅子狗,
21329691,Peking opera,京劇 (國劇/平劇),
21329692,persimmon,柿子,
21329693,phone scam,電話詐騙,
21329694,phonetic component,聲符(聲旁),
21329695,phonetic loan,假借字,
21329696,pickle,醃漬,
21329697,pictographic character,象形字,
21329698,pidan;century egg;preserved egg;thousand-year egg,皮蛋,
21329699,piggyback fighting,騎馬打仗,
21329700,pig's blood cake;pork blood cake;pig blood cake,豬血糕,
21329701,pineapple cake,鳳梨酥,
21329702,ping;(the Confucian virtue of) peace,平,
21329703,pipa (pear-shaped lute),琵琶,
21329704,playing house,家家酒,
21329705,playing marbles,打彈珠,
21329706,playing with a spinning dragonfly;playing with a hand spin dragonfly,玩竹蜻蜓,
21329707,playing with a spinning top;spinning a top,轉陀螺,
21329708,playschool,幼幼班,
21329709,pop quiz;surprise test,突擊考/抽考,
21329710,pork ball,貢丸,
21329711,pork geng;rou geng;pork in thick soup,肉羹,
21329712,pork xian bing,豬肉餡餅,
21329713,pork zongzi,肉粽,
21329714,post exam results;announce exam results,放榜,
21329715,pottery handbuilding,手捏(陶),
21329716,pottery throwing;wheel throwing,手拉坯,
21329717,Principle of Democracy,民權主義,
21329718,Principle of Nationalism,民族主義,
21329719,Principle of People’s Livelihood,民生主義,
21329720,prostrate (to pay respect);touch your forehead on the ground (to pay respect);kowtow (英文有貶義),磕頭,
21329721,protection money,保護費,
21329722,puffed rice cake,爆米香,
21329723,pug,哈巴狗,
21329724,qi;chi,氣,
21329725,qigong,氣功,
21329726,qilin,麒麟,
21329727,quick-boil;blanch,汆/燙/涮,
21329728,quiz,小考,
21329729,radical,部首,
21329730,rambutan,紅毛丹,
21329731,raspberry;framboise (法文),覆盆子,
21329732,realgar liquor,雄黃酒,
21329733,recorder,直笛,
21329734,red bean wheel cake;red bean stuffed cake,紅豆餅,
21329735,red lucky seed;Acacia Coral,相思豆,
21329736,red-braised,紅燒,
21329737,red-crowned crane,丹頂鶴,
21329738,reduce excessive internal heat,退熱,
21329739,reign title;title of an emperor's reign,年號,
21329740,reincarnation;to be reincarnated,轉世 (投胎),
21329741,ren;(the Confucian virtue of) benevolence,仁,
21329742,resource room,資源班,
21329743,riding a hobby horse,騎竹馬,
21329744,right-falling (stroke),捺,
21329745,rising (stroke),提,
21329746,roast,烤(烤箱),
21329747,rob the cradle,老牛吃嫩草,
21329748,rock paper scissors,剪刀石頭布,
21329749,romance between an older woman and a younger man,姐弟戀,
21329750,roselle tea,洛神花茶,
21329751,rousong;pork floss,肉鬆,
21329752,ruanxian;Chinese lute,阮咸,
21329753,rubus (學名);brambles (俗稱),懸鉤子,
21329754,run bing;Taiwanese wrap,潤餅,
21329755,rye,黑麥,
21329756,sailfish,旗魚,
21329757,Sakyamuni,釋迦牟尼,
21329758,salt;cure,鹽醃,
21329759,sanheyuan;three-sided courtyard house,三合院,
21329760,sanjiegun;three-section cudgel;three-section staff,三節棍,
