ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3604231,"de Lussan, Zélie",德‧呂森,,音樂,,2018-11-20
3604232,"de Lyon, Gaultier le Vieux",德‧利昂,,音樂,,2018-11-20
3604233,"de Machaut, Guillaume",德‧馬修,,音樂,,2018-11-20
3604234,"de Mondonville, Jean-Joseph Cassanéa",德‧蒙東維勒,,音樂,,2018-11-20
3604235,"De Monte, Philip",德‧蒙特,,音樂,,2018-11-20
3604236,"De Rore, Cipriano",德‧洛赫,,音樂,,2018-11-20
3604237,"Debussy, Claude",德布西(德比西),,音樂,,2018-11-20
3604238,"Decaux, Abel-Marie",德柯,,音樂,,2018-11-20
3604239,"Delage, Maurice",德拉熱,,音樂,,2018-11-20
3604240,"De Lalande, Michel Richard",德‧拉朗德，米歇勒,,音樂,,2018-11-20
3604241,"Delannoy, Marcel",德拉諾瓦,,音樂,,2018-11-20
3604242,"Delibes, Leo",德利伯,,音樂,,2018-11-20
3604243,"Delsarte, Francois Alexandre Nicolas",德勒薩特,,音樂,,2018-11-20
3604244,"Delvincourt, Claude",德勒萬庫,,音樂,,2018-11-20
3604245,"Demessieux, Jeanne",德梅西厄,,音樂,,2018-11-20
3604246,"Desmarest, Henri",德馬雷,,音樂,,2018-11-20
3604247,"Désormière, Roger",德佐米耶赫,,音樂,,2018-11-20
3604248,"Des Prez, Josquin",德普雷，若斯坎,,音樂,,2018-11-20
3604249,"Destouches, André-Cardinal",德圖什,,音樂,,2018-11-20
3604250,"Devienne, François",德維安納,,音樂,,2018-11-20
3604251,"Dhaine, Jean-Louis",戴納,,音樂,,2018-11-20
3604252,"D'Hardelot, Guy",達德羅,,音樂,,2018-11-20
3604253,"di Lasso(Lassus), Orlando",迪‧拉索,,音樂,,2018-11-20
3604254,"Dieupart, Charles",迪厄帕,,音樂,,2018-11-20
3604255,"D'Indy, Vincent",丹地,,音樂,,2018-11-20
3604256,"Dompierre, François",東皮耶赫,,音樂,,2018-11-20
3604257,"Donjon, Johennès",東容,,音樂,,2018-11-20
3604258,"Doret, Gustave",多雷,,音樂,,2018-11-20
3604259,"Dornel, Louis-Antoine",多內勒,,音樂,,2018-11-20
3604260,"Drouet, Louis",德胡埃,,音樂,,2018-11-20
3604261,"Du Caurroy, Eustache",迪柯華,,音樂,,2018-11-20
3604262,"Du Puy, (Jean Baptiste) Edouard",迪普伊,,音樂,,2018-11-20
